Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,tiempo de entrega (product.metafields.custom.delivery_time),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Diseño del panel del disyuntor (product.metafields.shopify.circuit-breaker-design),Tipo de disyuntor (product.metafields.shopify.circuit-breaker-type),Color (product.metafields.shopify.color-pattern),Tecnología de pantalla (product.metafields.shopify.display-technology),Material de la herramienta (product.metafields.shopify.hardware-material),Color de la luz (product.metafields.shopify.light-color),Material (product.metafields.shopify.material),Uso recomendado (product.metafields.shopify.recommended-use),Tipo de disparo (product.metafields.shopify.trip-type),Material del alambre/cuerda (product.metafields.shopify.wire-rope-material),Productos complementarios (product.metafields.shopify--discovery--product_recommendation.complementary_products),Productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products),Configuración de productos relacionados (product.metafields.shopify--discovery--product_recommendation.related_products_display),Buscar impulsos de productos (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Colombia,Price / Colombia,Compare At Price / Colombia,Included / Internacional,Price / Internacional,Compare At Price / Internacional,Status
pinza-amperimetrica-fluke-376-fc-ac-dc,Pinza amperimétrica Fluke 376 FC AC/DC,"<p>El multímetro de pinza <strong>Fluke 376 FC True-RMS</strong> está diseñado para ofrecer un rendimiento confiable y preciso en aplicaciones industriales y comerciales exigentes. Con capacidades avanzadas como la conectividad Bluetooth y la sonda flexible iFlex, este equipo se posiciona como una herramienta esencial para técnicos que buscan maximizar la productividad y la seguridad.</p>
<h4><strong>Características principales:</strong></h4>
<ul>
<li>
<p><strong>Mediciones versátiles:</strong></p>
<ul>
<li>Capacidad para medir corriente AC/DC con la sonda iFlex de <strong>18 o 36 pulgadas</strong>, ideal para ubicaciones estrechas y de difícil acceso.</li>
<li>Voltaje y corriente <strong>True RMS</strong>, ofreciendo mediciones precisas incluso en señales no lineales.</li>
</ul>
</li>
<li>
<p><strong>Capacidades de registro:</strong></p>
<ul>
<li>Identifica fallas intermitentes mediante el registro continuo de datos mientras realizas otras tareas.</li>
<li>Almacena y transmite datos para su análisis posterior, eliminando errores de transcripción.</li>
</ul>
</li>
<li>
<p><strong>Conectividad inalámbrica:</strong></p>
<ul>
<li>Visualiza mediciones en tiempo real desde tu smartphone mediante la aplicación <strong>Fluke Connect</strong> o el software <strong>Fluke Connect Assets</strong>.</li>
<li>Permite realizar mediciones desde una distancia segura, minimizando el uso de equipos de protección personal (PPE) y manteniéndote fuera de zonas de riesgo eléctrico.</li>
</ul>
</li>
</ul>
<h4><strong>Diseño práctico y seguro:</strong></h4>
<ul>
<li>Su diseño compacto y robusto facilita su manejo en condiciones industriales exigentes.</li>
<li>Clasificaciones de seguridad para trabajar con confianza en sistemas de alta potencia.</li>
</ul>
<h4><strong>Funciones avanzadas:</strong></h4>
<ul>
<li>Filtro de paso bajo para mediciones precisas en variadores de frecuencia (VFD).</li>
<li>Capacidad de medición de corriente de irrupción para arrancadores y sistemas eléctricos industriales.</li>
<li>Generación y compartición de informes desde el campo mediante correo electrónico o videollamadas <strong>ShareLive</strong>, lo que permite colaborar en tiempo real con tu equipo.</li>
</ul>
<h4><strong>Especificaciones adicionales:</strong></h4>
<ul>
<li>Alimentado por <strong>2 baterías AA</strong> incluidas.</li>
<li>Compatible con la tecnología <strong>iFlex</strong> para una mayor flexibilidad en entornos de trabajo complejos.</li>
<li>Dimensiones: <strong>10.63 x 13 x 3.74 pulgadas</strong>.</li>
<li>Peso: <strong>13.93 onzas</strong>.</li>
</ul>
<h4><strong>Ideal para técnicos exigentes:</strong></h4>
<p>El <strong>Fluke 376 FC</strong> combina precisión, seguridad y conectividad, convirtiéndose en la solución integral para técnicos industriales y comerciales que necesitan una herramienta confiable para diagnóstico y resolución de problemas eléctricos.</p>",Wattio,Bricolaje > Herramientas > Sensores y herramientas de medida > Herramientas para mediciones eléctricas > Probadores de circuitos,"","Baja tensión, Media Tensión",true,Title,Default Title,,,,,,,,"",0.0,,0,deny,manual,2659900.00,3559900.00,true,true,"",https://cdn.shopify.com/s/files/1/0899/2345/3214/files/61MM0xljc0L._SL1500.jpg?v=1736355829,1,"",false,,,,,,,,,,,,,,10,,,,amarillo,lcd,,,,,,,,,,,,kg,,,true,,,true,,,active
pinza-amperimetrica-fluke-376-fc-ac-dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0899/2345/3214/files/512K1hD6xaL._SL1500.jpg?v=1736355829,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinza-amperimetrica-fluke-376-fc-ac-dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0899/2345/3214/files/514KjnvRPML._SL1500.jpg?v=1736355829,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinza-amperimetrica-fluke-376-fc-ac-dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0899/2345/3214/files/71PKcfD_PaL._SL1500.jpg?v=1736355829,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinza-amperimetrica-fluke-376-fc-ac-dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0899/2345/3214/files/81KNUiHBVHL._SL1500.jpg?v=1736355829,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinza-amperimetrica-fluke-902-fc-hvac-true-rms,Pinza amperimétrica Fluke 902 FC HVAC True-RMS,"<h3></h3>
<p>El multímetro de pinza <strong>Fluke 902 FC</strong> está diseñado específicamente para satisfacer las necesidades de los técnicos HVAC, proporcionando mediciones esenciales de sistemas de climatización de forma precisa, eficiente y segura. Con su conectividad inalámbrica <strong>Fluke Connect</strong>, este medidor mejora la productividad y la colaboración en el trabajo.</p>
<h4><strong>Características principales:</strong></h4>
<ul>
<li>
<p><strong>Mediciones especializadas:</strong></p>
<ul>
<li>Microamperios para sensores de piloto (<strong>200 µA DC</strong>).</li>
<li>Resistencia ampliada hasta <strong>60 kΩ</strong> para medir termistores.</li>
<li>Voltaje AC/DC y corriente AC True RMS para señales no lineales.</li>
<li>Medición de capacitancia y temperatura por contacto.</li>
<li>Capacidad para capturar la temperatura de los gases de combustión.</li>
</ul>
</li>
<li>
<p><strong>Diseño compacto y robusto:</strong><br>Su formato reducido permite un manejo sencillo en espacios estrechos, mientras que su diseño resistente garantiza un rendimiento fiable en entornos exigentes.</p>
</li>
</ul>
<h4><strong>Tecnología inalámbrica Fluke Connect:</strong></h4>
<ul>
<li>
<p><strong>Seguridad mejorada:</strong><br>Visualiza las mediciones desde hasta <strong>6 metros de distancia</strong> utilizando la aplicación <strong>Fluke Connect Measurements</strong> en tu smartphone. Esto te permite trabajar de manera más segura alejándote de componentes energizados.</p>
</li>
<li>
<p><strong>Mayor eficiencia:</strong><br>Monitorea múltiples puntos de medición simultáneamente para identificar problemas rápidamente. Los datos se registran automáticamente y se pueden subir a un PC o almacenamiento en la nube para análisis detallados y generación de informes.</p>
</li>
<li>
<p><strong>Colaboración en tiempo real:</strong><br>Comparte gráficos, mediciones e imágenes térmicas en directo con colegas o supervisores a través de llamadas ShareLive. Esto facilita la resolución de problemas sin salir del lugar de trabajo y reduce significativamente los tiempos de inactividad.</p>
</li>
</ul>
<h4><strong>Cumplimiento de estándares y seguridad:</strong></h4>
<p>El Fluke 902 FC está clasificado para:</p>
<ul>
<li>
<strong>CAT III</strong> a 600 V</li>
<li>
<strong>CAT IV</strong> a 300 V</li>
</ul>
<p>Estas clasificaciones aseguran su uso seguro en entornos de alta demanda eléctrica.</p>
<h4><strong>Un solo instrumento, múltiples funciones:</strong></h4>
<p>El <strong>Fluke 902 FC HVAC Clamp Meter</strong> permite:</p>
<ul>
<li>Medir capacitores de arranque y funcionamiento de motores.</li>
<li>Evaluar el rendimiento de variadores de frecuencia.</li>
<li>Realizar mediciones críticas de sistemas HVAC con precisión True RMS.</li>
</ul>",Wattio,Bricolaje > Herramientas > Sensores y herramientas de medida > Herramientas para mediciones eléctricas > Probadores de circuitos,"","Baja tensión, Media Tensión",true,Title,Default Title,,,,,,,,"",0.0,,0,continue,manual,1639900.00,2050000.00,true,true,"",https://cdn.shopify.com/s/files/1/0899/2345/3214/files/61C38zvx1bL._SL1500.jpg?v=1736355202,1,"",false,,,,,,,,,,,,,,10,,,,amarillo; gris; naranja,lcd,,,,,,,,,,,,kg,,1144000.00,true,,,true,,,active
pinza-amperimetrica-fluke-902-fc-hvac-true-rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0899/2345/3214/files/61IMvwT9BWL._SL1500.jpg?v=1736355202,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinza-amperimetrica-fluke-902-fc-hvac-true-rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0899/2345/3214/files/61ZUr7G-wcL._SL1500.jpg?v=1736355202,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinza-amperimetrica-fluke-902-fc-hvac-true-rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0899/2345/3214/files/71AWCVA5sDL._SL1500.jpg?v=1736355202,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinza-amperimetrica-fluke-902-fc-hvac-true-rms,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0899/2345/3214/files/71FGH1wfzKL._SL1500.jpg?v=1736355202,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
